4/20/2013,09:56,15:59,6.05,9.65,58.38,56.88,0.00
4/27/2013,09:58,16:00,6.03,9.65,58.22,56.72,0.00
4/30/2013,00:00,00:00,0.00,0.00,0.00,0.00,-107.68
5/4/2013,13:53,20:01,6.13,10.25,62.87,61.37,0.00
5/11/2013,09:54,16:00,6.10,10.25,62.53,61.03,0.00
5/15/2013,16:42,22:27,5.75,10.25,58.94,57.44,-163.71
5/18/2013,09:56,16:02,6.10,10.25,62.53,61.03,0.00
5/20/2013,16:54,22:37,5.72,15.38,87.89,86.39,0.00
5/21/2013,16:55,22:20,5.42,10.25,55.52,54.02,0.00
5/25/2013,09:58,16:08,6.17,10.25,63.21,61.71,0.00
5/26/2013,10:06,16:01,5.92,10.25,60.65,59.15,0.00
5/31/2013,00:00,00:00,0.00,10.25,0.00,0.00,-384.05
6/1/2013,09:58,16:09,6.18,10.25,63.38,61.88,0.00
6/2/2013,10:00,16:41,6.68,10.25,68.50,67.00,0.00
6/8/2013,10:10,16:36,6.43,10.25,65.94,64.44,0.00
6/9/2013,09:58,16:00,6.03,10.25,61.84,60.34,0.00
6/14/2013,00:00,00:00,0.00,0.00,0.00,0.00,-244.75
6/15/2013,10:00,16:19,6.32,10.25,64.75,63.25,0.00
6/22/2013,10:01,16:44,6.72,10.25,68.85,67.35,0.00
6/23/2013,10:03,16:02,5.98,10.25,61.33,59.83,0.00
6/27/2013,16:52,21:41,4.82,10.25,49.37,47.87,0.00
6/28/2013,00:00,00:00,0.00,0.00,0.00,0.00,-184.17
6/29/2013,10:07,16:33,6.43,10.25,65.94,64.44,0.00
6/30/2013,16:57,23:59,7.03,10.25,72.09,70.59,0.00
